CVE-2003-0727|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-3468|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3469|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-3470|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3471|allowedAction({local,user},execute,{code,arbitrary}) 
CVE-2007-3472|allowedAction({attacker,remote,user-assisted},have,{attack,vector,unspecified}) allowedAction({attacker,remote,user-assisted},have,{impact}) 
CVE-2007-3473|allowedAction({user-assisted,remote,attacker},cause,{denial,service}) 
CVE-2007-3475|allowedAction({user-assisted,remote,attacker},cause,{denial,service}) 
CVE-2007-3476|allowedAction({attacker,remote,user-assisted},cause,{denial,service}) 
CVE-2007-3487|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-3488|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3490|allowedAction({attacker,remote},have,{impact,unknown}) 
CVE-2007-3493|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-3503|allowedAction({attacker,remote},inject,{web,script,arbitrary}) 
CVE-2007-3511|allowedAction({attacker,remote},change,{field,focus}) allowedAction({attacker,remote},change,{copy,keystroke}) 
CVE-2007-3513|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-3515|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3518|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3519|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3520|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3521|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3522|
CVE-2007-3523|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-3524|
CVE-2007-3526|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3529|allowedAction({attacker,remote},obtain,{information,sensitive}) 
CVE-2007-3530|allowedAction({local,user},gain,{privilege}) 
CVE-2007-3534|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3535|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-3536|allowedAction({attacker,remote},execute,{code,arbitrary}) allowedAction({attacker,remote},execute,{2}) allowedAction({attacker,remote},execute,{LogFile}) 
CVE-2007-3539|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3542|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-3547|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-3548|allowedAction({ftp,remote,server},cause,{denial,service}) allowedAction({ftp,remote,server},execute,{code,arbitrary}) 
CVE-2007-3549|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3562|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3563|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3582|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3583|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3584|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3585|
CVE-2007-3586|allowedAction({attacker,remote},inject,{code,PHP,arbitrary}) 
CVE-2007-3587|allowedAction({attacker,remote},gain,{privilege}) 
CVE-2007-3589|
CVE-2007-3590|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-3605|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3606|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3607|allowedAction({attacker,remote},cause,{denial,service}) 
